# factor, temperature
12.1000  ,   41.5882
12.1500  ,   41.4170
12.2000  ,   41.2473
12.2500  ,   41.0789
12.3000  ,   40.9120
12.3500  ,   40.7463
12.4000  ,   40.5820
12.4500  ,   40.4190
12.5000  ,   40.2574
12.5500  ,   40.0970
12.6000  ,   39.9379
12.6500  ,   39.7800
12.7000  ,   39.6234
12.7500  ,   39.4680
12.8000  ,   39.3138
12.8500  ,   39.1609
12.9000  ,   39.0091
12.9500  ,   38.8585
13.0000  ,   38.7090
13.0500  ,   38.5607
